km,mode,scenario,gate_price_asrec_eurpt,delivered_cost_asrec_eurpt,GM_farm_asrec_eurpt
170,tractor,base,23.61,65.35,-41.74
170,tractor,withC,66.66,65.35,1.31
170,truck,base,23.61,42.76,-19.15
170,truck,withC,66.66,42.76,23.90
171,tractor,base,23.61,65.68,-42.07
171,tractor,withC,66.66,65.68,0.98
171,truck,base,23.61,42.96,-19.35
171,truck,withC,66.66,42.96,23.70
172,tractor,base,23.61,66.00,-42.39
172,tractor,withC,66.66,66.00,0.66
172,truck,base,23.61,43.15,-19.54
172,truck,withC,66.66,43.15,23.51
173,tractor,base,23.61,66.33,-42.72
173,tractor,withC,66.66,66.33,0.33
173,truck,base,23.61,43.34,-19.73
173,truck,withC,66.66,43.34,23.32
174,tractor,base,23.61,66.66,-43.05
174,tractor,withC,66.66,66.66,0.00
174,truck,base,23.61,43.54,-19.93
174,truck,withC,66.66,43.54,23.12
175,tractor,base,23.61,66.98,-43.37
175,tractor,withC,66.66,66.98,-0.32
175,truck,base,23.61,43.73,-20.12
175,truck,withC,66.66,43.73,22.93
176,tractor,base,23.61,67.31,-43.70
176,tractor,withC,66.66,67.31,-0.65
176,truck,base,23.61,43.92,-20.31
176,truck,withC,66.66,43.92,22.74
177,tractor,base,23.61,67.64,-44.03
177,tractor,withC,66.66,67.64,-0.98
177,truck,base,23.61,44.12,-20.51
177,truck,withC,66.66,44.12,22.54
178,tractor,base,23.61,67.96,-44.35
178,tractor,withC,66.66,67.96,-1.30
178,truck,base,23.61,44.31,-20.70
178,truck,withC,66.66,44.31,22.35
179,tractor,base,23.61,68.29,-44.68
179,tractor,withC,66.66,68.29,-1.63
179,truck,base,23.61,44.50,-20.89
179,truck,withC,66.66,44.50,22.16
180,tractor,base,23.61,68.62,-45.01
180,tractor,withC,66.66,68.62,-1.96
180,truck,base,23.61,44.70,-21.09
180,truck,withC,66.66,44.70,21.96
181,tractor,base,23.61,68.94,-45.33
181,tractor,withC,66.66,68.94,-2.28
181,truck,base,23.61,44.89,-21.28
181,truck,withC,66.66,44.89,21.77
182,tractor,base,23.61,69.27,-45.66
182,tractor,withC,66.66,69.27,-2.61
182,truck,base,23.61,45.08,-21.47
182,truck,withC,66.66,45.08,21.58
183,tractor,base,23.61,69.60,-45.99
183,tractor,withC,66.66,69.60,-2.94
183,truck,base,23.61,45.28,-21.67
183,truck,withC,66.66,45.28,21.38
184,tractor,base,23.61,69.92,-46.31
184,tractor,withC,66.66,69.92,-3.26
184,truck,base,23.61,45.47,-21.86
184,truck,withC,66.66,45.47,21.19
185,tractor,base,23.61,70.25,-46.64
185,tractor,withC,66.66,70.25,-3.59
185,truck,base,23.61,45.66,-22.05
185,truck,withC,66.66,45.66,21.00
186,tractor,base,23.61,70.58,-46.97
186,tractor,withC,66.66,70.58,-3.92
186,truck,base,23.61,45.86,-22.25
186,truck,withC,66.66,45.86,20.80
187,tractor,base,23.61,70.90,-47.29
187,tractor,withC,66.66,70.90,-4.24
187,truck,base,23.61,46.05,-22.44
187,truck,withC,66.66,46.05,20.61
188,tractor,base,23.61,71.23,-47.62
188,tractor,withC,66.66,71.23,-4.57
188,truck,base,23.61,46.24,-22.63
188,truck,withC,66.66,46.24,20.42
189,tractor,base,23.61,71.56,-47.95
189,tractor,withC,66.66,71.56,-4.90
189,truck,base,23.61,46.44,-22.83
189,truck,withC,66.66,46.44,20.22
190,tractor,base,23.61,71.88,-48.27
190,tractor,withC,66.66,71.88,-5.22
190,truck,base,23.61,46.63,-23.02
190,truck,withC,66.66,46.63,20.03
191,tractor,base,23.61,72.21,-48.60
191,tractor,withC,66.66,72.21,-5.55
191,truck,base,23.61,46.82,-23.21
191,truck,withC,66.66,46.82,19.84
192,tractor,base,23.61,72.54,-48.93
192,tractor,withC,66.66,72.54,-5.88
192,truck,base,23.61,47.02,-23.41
192,truck,withC,66.66,47.02,19.64
193,tractor,base,23.61,72.86,-49.25
193,tractor,withC,66.66,72.86,-6.20
193,truck,base,23.61,47.21,-23.60
193,truck,withC,66.66,47.21,19.45
194,tractor,base,23.61,73.19,-49.58
194,tractor,withC,66.66,73.19,-6.53
194,truck,base,23.61,47.40,-23.79
194,truck,withC,66.66,47.40,19.26
195,tractor,base,23.61,73.52,-49.91
195,tractor,withC,66.66,73.52,-6.86
195,truck,base,23.61,47.60,-23.99
195,truck,withC,66.66,47.60,19.06
196,tractor,base,23.61,73.84,-50.23
196,tractor,withC,66.66,73.84,-7.18
196,truck,base,23.61,47.79,-24.18
196,truck,withC,66.66,47.79,18.87
197,tractor,base,23.61,74.17,-50.56
197,tractor,withC,66.66,74.17,-7.51
197,truck,base,23.61,47.98,-24.37
197,truck,withC,66.66,47.98,18.68
198,tractor,base,23.61,74.50,-50.89
198,tractor,withC,66.66,74.50,-7.84
198,truck,base,23.61,48.18,-24.57
198,truck,withC,66.66,48.18,18.48
199,tractor,base,23.61,74.82,-51.21
199,tractor,withC,66.66,74.82,-8.16
199,truck,base,23.61,48.37,-24.76
199,truck,withC,66.66,48.37,18.29
200,tractor,base,23.61,75.15,-51.54
200,tractor,withC,66.66,75.15,-8.49
200,truck,base,23.61,48.56,-24.95
200,truck,withC,66.66,48.56,18.10
