P_char_EURt,GM_per_tDM_EURtDM
3850.00,771.87
3860.00,774.37
3870.00,776.87
3880.00,779.37
3890.00,781.87
3900.00,784.37
3910.00,786.87
3920.00,789.37
3930.00,791.87
3940.00,794.37
3950.00,796.87
3960.00,799.37
3970.00,801.87
3980.00,804.37
3990.00,806.87
4000.00,809.37
4010.00,811.87
4020.00,814.37
4030.00,816.87
4040.00,819.37
4050.00,821.87
4060.00,824.37
4070.00,826.87
4080.00,829.37
4090.00,831.87
4100.00,834.37
4110.00,836.87
4120.00,839.37
4130.00,841.87
4140.00,844.37
4150.00,846.87
4160.00,849.37
4170.00,851.87
4180.00,854.37
4190.00,856.87
4200.00,859.37
4210.00,861.87
4220.00,864.37
4230.00,866.87
4240.00,869.37
4250.00,871.87
4260.00,874.37
4270.00,876.87
4280.00,879.37
4290.00,881.87
4300.00,884.37
4310.00,886.87
4320.00,889.37
4330.00,891.87
4340.00,894.37
4350.00,896.87
4360.00,899.37
4370.00,901.87
4380.00,904.37
4390.00,906.87
4400.00,909.37
4410.00,911.87
4420.00,914.37
4430.00,916.87
4440.00,919.37
4450.00,921.87
4460.00,924.37
4470.00,926.87
4480.00,929.37
4490.00,931.87
4500.00,934.37
4510.00,936.87
4520.00,939.37
4530.00,941.87
4540.00,944.37
4550.00,946.87
4560.00,949.37
4570.00,951.87
4580.00,954.37
4590.00,956.87
4600.00,959.37
4610.00,961.87
4620.00,964.37
4630.00,966.87
4640.00,969.37
4650.00,971.87
4660.00,974.37
4670.00,976.87
4680.00,979.37
4690.00,981.87
4700.00,984.37
4710.00,986.87
4720.00,989.37
4730.00,991.87
4740.00,994.37
4750.00,996.87
4760.00,999.37
4770.00,1001.87
4780.00,1004.37
4790.00,1006.87
4800.00,1009.37
4810.00,1011.87
4820.00,1014.37
4830.00,1016.87
4840.00,1019.37
4850.00,1021.87
4860.00,1024.37
4870.00,1026.87
4880.00,1029.37
4890.00,1031.87
4900.00,1034.37
4910.00,1036.87
4920.00,1039.37
4930.00,1041.87
4940.00,1044.37
4950.00,1046.87
4960.00,1049.37
4970.00,1051.87
4980.00,1054.37
4990.00,1056.87
5000.00,1059.37
5010.00,1061.87
5020.00,1064.37
5030.00,1066.87
5040.00,1069.37
5050.00,1071.87
5060.00,1074.37
5070.00,1076.87
5080.00,1079.37
5090.00,1081.87
5100.00,1084.37
5110.00,1086.87
5120.00,1089.37
5130.00,1091.87
5140.00,1094.37
5150.00,1096.87
5160.00,1099.37
5170.00,1101.87
5180.00,1104.37
5190.00,1106.87
5200.00,1109.37
5210.00,1111.87
5220.00,1114.37
5230.00,1116.87
5240.00,1119.37
5250.00,1121.87
5260.00,1124.37
5270.00,1126.87
5280.00,1129.37
5290.00,1131.87
5300.00,1134.37
5310.00,1136.87
5320.00,1139.37
5330.00,1141.87
5340.00,1144.37
5350.00,1146.87
5360.00,1149.37
5370.00,1151.87
5380.00,1154.37
5390.00,1156.87
5400.00,1159.37
5410.00,1161.87
5420.00,1164.37
5430.00,1166.87
5440.00,1169.37
5450.00,1171.87
5460.00,1174.37
5470.00,1176.87
5480.00,1179.37
5490.00,1181.87
5500.00,1184.37
5510.00,1186.87
5520.00,1189.37
5530.00,1191.87
5540.00,1194.37
5550.00,1196.87
5560.00,1199.37
5570.00,1201.87
5580.00,1204.37
5590.00,1206.87
5600.00,1209.37
5610.00,1211.87
5620.00,1214.37
5630.00,1216.87
5640.00,1219.37
5650.00,1221.87
5660.00,1224.37
5670.00,1226.87
5680.00,1229.37
5690.00,1231.87
5700.00,1234.37
5710.00,1236.87
5720.00,1239.37
5730.00,1241.87
5740.00,1244.37
5750.00,1246.87
5760.00,1249.37
5770.00,1251.87
5780.00,1254.37
5790.00,1256.87
5800.00,1259.37
5810.00,1261.87
5820.00,1264.37
5830.00,1266.87
5840.00,1269.37
5850.00,1271.87
5860.00,1274.37
